"Code";"Name";"total;dwellings;2021;[-]";
0000000;"POLAND";15359507;
0200000;"DOLNOŚLĄSKIE";1274214;
0201000;"Powiat bolesławiecki";34480;
0201011;"Bolesławiec (1)";16988;
0201022;"Bolesławiec (2)";4648;
0201032;"Gromadka (2)";1794;
0201043;"Nowogrodziec (3)";4569;
0201044;"Nowogrodziec - urban area (4)";1483;
0201045;"Nowogrodziec - rural area (5)";3086;
0201052;"Osiecznica (2)";2929;
0201062;"Warta Bolesławiecka (2)";3552;
0202000;"Powiat dzierżoniowski";40736;
0202011;"Bielawa (1)";12735;
0202021;"Dzierżoniów (1)";14463;
0202033;"Pieszyce (3)";3432;
0202034;"Pieszyce - urban area (4)";2753;
0202035;"Pieszyce - rural area (5)";679;
0202041;"Piława Górna (1)";2375;
0202052;"Dzierżoniów (2)";3296;
0202062;"Łagiewniki (2)";2382;
0202073;"Niemcza (3)";2053;
0202074;"Niemcza - urban area (4)";1133;
0202075;"Niemcza - rural area (5)";920;
0203000;"Powiat głogowski";34323;
0203011;"Głogów (1)";26989;
0203022;"Głogów (2)";2327;
0203032;"Jerzmanowa (2)";1785;
0203042;"Kotla (2)";1408;
0203052;"Pęcław (2)";748;
0203062;"Żukowice (2)";1066;
0204000;"Powiat górowski";12182;
0204013;"Góra (3)";7026;
0204014;"Góra - urban area (4)";4486;
0204015;"Góra - rural area (5)";2540;
0204022;"Jemielno (2)";964;
0204032;"Niechlów (2)";1672;
0204043;"Wąsosz (3)";2520;
0204044;"Wąsosz - urban area (4)";1012;
0204045;"Wąsosz - rural area (5)";1508;
0205000;"Powiat jaworski";18384;
0205011;"Jawor (1)";8993;
0205023;"Bolków (3)";3699;
0205024;"Bolków - urban area (4)";1999;
0205025;"Bolków - rural area (5)";1700;
0205032;"Męcinka (2)";1690;
0205042;"Mściwojów (2)";1387;
0205052;"Paszowice (2)";1345;
0205062;"Wądroże Wielkie (2)";1270;
0206000;"Powiat karkonoski";26994;
0206011;"Karpacz (1)";2675;
0206021;"Kowary (1)";4463;
0206031;"Piechowice (1)";2424;
0206041;"Szklarska Poręba (1)";4177;
0206052;"Janowice Wielkie (2)";1493;
0206062;"Jeżów Sudecki (2)";2678;
0206072;"Mysłakowice (2)";4043;
0206082;"Podgórzyn (2)";3128;
0206092;"Stara Kamienica (2)";1913;
0207000;"Powiat kamiennogórski";17066;
0207011;"Kamienna Góra (1)";8000;
0207022;"Kamienna Góra (2)";2984;
0207033;"Lubawka (3)";4365;
0207034;"Lubawka - urban area (4)";2532;
0207035;"Lubawka - rural area (5)";1833;
0207042;"Marciszów (2)";1717;
0208000;"Powiat kłodzki";66032;
0208011;"Duszniki-Zdrój (1)";2065;
0208021;"Kłodzko (1)";11965;
0208031;"Kudowa-Zdrój (1)";4143;
0208041;"Nowa Ruda (1)";9407;
0208051;"Polanica-Zdrój (1)";3306;
0208063;"Bystrzyca Kłodzka (3)";7998;
0208064;"Bystrzyca Kłodzka - urban area (4)";4200;
0208065;"Bystrzyca Kłodzka - rural area (5)";3798;
0208072;"Kłodzko (2)";6457;
0208083;"Lądek-Zdrój (3)";3448;
0208084;"Lądek-Zdrój - urban area (4)";2528;
0208085;"Lądek-Zdrój - rural area (5)";920;
0208092;"Lewin Kłodzki (2)";835;
0208103;"Międzylesie (3)";2862;
0208104;"Międzylesie - urban area (4)";1070;
0208105;"Międzylesie - rural area (5)";1792;
0208112;"Nowa Ruda (2)";4390;
0208123;"Radków (3)";3172;
0208124;"Radków - urban area (4)";927;
0208125;"Radków - rural area (5)";2245;
0208133;"Stronie Śląskie (3)";3270;
0208134;"Stronie Śląskie - urban area (4)";2382;
0208135;"Stronie Śląskie - rural area (5)";888;
0208143;"Szczytna (3)";2714;
0208144;"Szczytna - urban area (4)";1976;
0208145;"Szczytna - rural area (5)";738;
0209000;"Powiat legnicki";19701;
0209011;"Chojnów (1)";5277;
0209022;"Chojnów (2)";3361;
0209032;"Krotoszyce (2)";1095;
0209042;"Kunice (2)";2489;
0209052;"Legnickie Pole (2)";1713;
0209062;"Miłkowice (2)";2428;
0209073;"Prochowice (3)";2526;
0209074;"Prochowice - urban area (4)";1319;
0209075;"Prochowice - rural area (5)";1207;
0209082;"Ruja (2)";812;
0210000;"Powiat lubański";21084;
0210011;"Lubań (1)";8711;
0210021;"Świeradów-Zdrój (1)";2086;
0210033;"Leśna (3)";3723;
0210034;"Leśna - urban area (4)";1826;
0210035;"Leśna - rural area (5)";1897;
0210042;"Lubań (2)";1957;
0210053;"Olszyna (3)";2519;
0210054;"Olszyna - urban area (4)";1750;
0210055;"Olszyna - rural area (5)";769;
0210062;"Platerówka (2)";549;
0210072;"Siekierczyn (2)";1539;
0211000;"Powiat lubiński";43144;
0211011;"Lubin (1)";31181;
0211022;"Lubin (2)";5967;
0211032;"Rudna (2)";2586;
0211043;"Ścinawa (3)";3410;
0211044;"Ścinawa - urban area (4)";2081;
0211045;"Ścinawa - rural area (5)";1329;
0212000;"Powiat lwówecki";17272;
0212013;"Gryfów Śląski (3)";3761;
0212014;"Gryfów Śląski - urban area (4)";2745;
0212015;"Gryfów Śląski - rural area (5)";1016;
0212023;"Lubomierz (3)";2075;
0212024;"Lubomierz - urban area (4)";768;
0212025;"Lubomierz - rural area (5)";1307;
0212033;"Lwówek Śląski (3)";6310;
0212034;"Lwówek Śląski - urban area (4)";3599;
0212035;"Lwówek Śląski - rural area (5)";2711;
0212043;"Mirsk (3)";3384;
0212044;"Mirsk - urban area (4)";1563;
0212045;"Mirsk - rural area (5)";1821;
0212053;"Wleń (3)";1742;
0212054;"Wleń - urban area (4)";773;
0212055;"Wleń - rural area (5)";969;
0213000;"Powiat milicki";12365;
0213012;"Cieszków (2)";1360;
0213022;"Krośnice (2)";2473;
0213033;"Milicz (3)";8532;
0213034;"Milicz - urban area (4)";4650;
0213035;"Milicz - rural area (5)";3882;
0214000;"Powiat oleśnicki";39211;
0214011;"Oleśnica (1)";15143;
0214023;"Bierutów (3)";3441;
0214024;"Bierutów - urban area (4)";1822;
0214025;"Bierutów - rural area (5)";1619;
0214032;"Dobroszyce (2)";2257;
0214042;"Dziadowa Kłoda (2)";1389;
0214053;"Międzybórz (3)";1679;
0214054;"Międzybórz - urban area (4)";851;
0214055;"Międzybórz - rural area (5)";828;
0214062;"Oleśnica (2)";4951;
0214073;"Syców (3)";5953;
0214074;"Syców - urban area (4)";3850;
0214075;"Syców - rural area (5)";2103;
0214083;"Twardogóra (3)";4398;
0214084;"Twardogóra - urban area (4)";2292;
0214085;"Twardogóra - rural area (5)";2106;
0215000;"Powiat oławski";30490;
0215011;"Oława (1)";15050;
0215022;"Domaniów (2)";1484;
0215033;"Jelcz-Laskowice (3)";9219;
0215034;"Jelcz-Laskowice - urban area (4)";6522;
0215035;"Jelcz-Laskowice - rural area (5)";2697;
0215042;"Oława (2)";4737;
0216000;"Powiat polkowicki";23009;
0216013;"Chocianów (3)";4588;
0216014;"Chocianów - urban area (4)";3009;
0216015;"Chocianów - rural area (5)";1579;
0216022;"Gaworzyce (2)";1257;
0216032;"Grębocice (2)";1694;
0216043;"Polkowice (3)";11072;
0216044;"Polkowice - urban area (4)";9392;
0216045;"Polkowice - rural area (5)";1680;
0216053;"Przemków (3)";2840;
0216054;"Przemków - urban area (4)";2141;
0216055;"Przemków - rural area (5)";699;
0216062;"Radwanice (2)";1558;
0217000;"Powiat strzeliński";15666;
0217012;"Borów (2)";1720;
0217022;"Kondratowice (2)";1455;
0217032;"Przeworno (2)";1704;
0217043;"Strzelin (3)";8486;
0217044;"Strzelin - urban area (4)";5178;
0217045;"Strzelin - rural area (5)";3308;
0217053;"Wiązów (3)";2301;
0217054;"Wiązów - urban area (4)";864;
0217055;"Wiązów - rural area (5)";1437;
0218000;"Powiat średzki";20721;
0218012;"Kostomłoty (2)";2199;
0218022;"Malczyce (2)";2164;
0218032;"Miękinia (2)";7237;
0218043;"Środa Śląska (3)";7401;
0218044;"Środa Śląska - urban area (4)";4110;
0218045;"Środa Śląska - rural area (5)";3291;
0218052;"Udanin (2)";1720;
0219000;"Powiat świdnicki";63291;
0219011;"Świdnica (1)";25056;
0219021;"Świebodzice (1)";9686;
0219032;"Dobromierz (2)";1817;
0219043;"Jaworzyna Śląska (3)";3854;
0219044;"Jaworzyna Śląska - urban area (4)";2075;
0219045;"Jaworzyna Śląska - rural area (5)";1779;
0219052;"Marcinowice (2)";2172;
0219063;"Strzegom (3)";9876;
0219064;"Strzegom - urban area (4)";6505;
0219065;"Strzegom - rural area (5)";3371;
0219072;"Świdnica (2)";6241;
0219083;"Żarów (3)";4589;
0219084;"Żarów - urban area (4)";2808;
0219085;"Żarów - rural area (5)";1781;
0220000;"Powiat trzebnicki";30624;
0220013;"Oborniki Śląskie (3)";7649;
0220014;"Oborniki Śląskie - urban area (4)";3665;
0220015;"Oborniki Śląskie - rural area (5)";3984;
0220023;"Prusice (3)";2840;
0220024;"Prusice - urban area (4)";834;
0220025;"Prusice - rural area (5)";2006;
0220033;"Trzebnica (3)";9165;
0220034;"Trzebnica - urban area (4)";5940;
0220035;"Trzebnica - rural area (5)";3225;
0220042;"Wisznia Mała (2)";3801;
0220052;"Zawonia (2)";1942;
0220063;"Żmigród (3)";5227;
0220064;"Żmigród - urban area (4)";2530;
0220065;"Żmigród - rural area (5)";2697;
0221000;"Powiat wałbrzyski";22856;
0221011;"Boguszów-Gorce (1)";6741;
0221021;"Jedlina-Zdrój (1)";1936;
0221031;"Szczawno-Zdrój (1)";2521;
0221042;"Czarny Bór (2)";1631;
0221053;"Głuszyca (3)";3611;
0221054;"Głuszyca - urban area (4)";2704;
0221055;"Głuszyca - rural area (5)";907;
0221063;"Mieroszów (3)";2865;
0221064;"Mieroszów - urban area (4)";1778;
0221065;"Mieroszów - rural area (5)";1087;
0221072;"Stare Bogaczowice (2)";1345;
0221082;"Walim (2)";2206;
0222000;"Powiat wołowski";17971;
0222013;"Brzeg Dolny (3)";6729;
0222014;"Brzeg Dolny - urban area (4)";5554;
0222015;"Brzeg Dolny - rural area (5)";1175;
0222022;"Wińsko (2)";2915;
0222033;"Wołów (3)";8327;
0222034;"Wołów - urban area (4)";5125;
0222035;"Wołów - rural area (5)";3202;
0223000;"Powiat wrocławski";67522;
0223012;"Czernica (2)";8485;
0223022;"Długołęka (2)";14589;
0223032;"Jordanów Śląski (2)";934;
0223043;"Kąty Wrocławskie (3)";11711;
0223044;"Kąty Wrocławskie - urban area (4)";3057;
0223045;"Kąty Wrocławskie - rural area (5)";8654;
0223052;"Kobierzyce (2)";9659;
0223062;"Mietków (2)";1260;
0223073;"Sobótka (3)";5043;
0223074;"Sobótka - urban area (4)";2914;
0223075;"Sobótka - rural area (5)";2129;
0223083;"Siechnice (3)";11363;
0223084;"Siechnice - urban area (4)";4764;
0223085;"Siechnice - rural area (5)";6599;
0223092;"Żórawina (2)";4478;
0224000;"Powiat ząbkowicki";24797;
0224013;"Bardo (3)";1954;
0224014;"Bardo - urban area (4)";1031;
0224015;"Bardo - rural area (5)";923;
0224022;"Ciepłowody (2)";985;
0224033;"Kamieniec Ząbkowicki (3)";3072;
0224034;"Kamieniec Ząbkowicki - urban area (4)";1786;
0224035;"Kamieniec Ząbkowicki - rural area (5)";1286;
0224042;"Stoszowice (2)";1804;
0224053;"Ząbkowice Śląskie (3)";8994;
0224054;"Ząbkowice Śląskie - urban area (4)";6603;
