"Code";"Name";"total in square km;2021;[km2]";
0000000;"POLAND";312705;
0200000;"DOLNOŚLĄSKIE";19947;
0201000;"Powiat bolesławiecki";1304;
0201011;"Bolesławiec (1)";24;
0201022;"Bolesławiec (2)";289;
0201032;"Gromadka (2)";268;
0201043;"Nowogrodziec (3)";176;
0201044;"Nowogrodziec - urban area (4)";16;
0201045;"Nowogrodziec - rural area (5)";160;
0201052;"Osiecznica (2)";437;
0201062;"Warta Bolesławiecka (2)";110;
0202000;"Powiat dzierżoniowski";479;
0202011;"Bielawa (1)";36;
0202021;"Dzierżoniów (1)";20;
0202033;"Pieszyce (3)";64;
0202034;"Pieszyce - urban area (4)";18;
0202035;"Pieszyce - rural area (5)";46;
0202041;"Piława Górna (1)";21;
0202052;"Dzierżoniów (2)";141;
0202062;"Łagiewniki (2)";125;
0202073;"Niemcza (3)";72;
0202074;"Niemcza - urban area (4)";20;
0202075;"Niemcza - rural area (5)";52;
0203000;"Powiat głogowski";443;
0203011;"Głogów (1)";35;
0203022;"Głogów (2)";85;
0203032;"Jerzmanowa (2)";63;
0203042;"Kotla (2)";128;
0203052;"Pęcław (2)";64;
0203062;"Żukowice (2)";68;
0204000;"Powiat górowski";738;
0204013;"Góra (3)";266;
0204014;"Góra - urban area (4)";14;
0204015;"Góra - rural area (5)";252;
0204022;"Jemielno (2)";124;
0204032;"Niechlów (2)";151;
0204043;"Wąsosz (3)";197;
0204044;"Wąsosz - urban area (4)";3;
0204045;"Wąsosz - rural area (5)";194;
0205000;"Powiat jaworski";582;
0205011;"Jawor (1)";19;
0205023;"Bolków (3)";153;
0205024;"Bolków - urban area (4)";8;
0205025;"Bolków - rural area (5)";145;
0205032;"Męcinka (2)";148;
0205042;"Mściwojów (2)";72;
0205052;"Paszowice (2)";101;
0205062;"Wądroże Wielkie (2)";89;
0206000;"Powiat karkonoski";627;
0206011;"Karpacz (1)";38;
0206021;"Kowary (1)";37;
0206031;"Piechowice (1)";43;
0206041;"Szklarska Poręba (1)";75;
0206052;"Janowice Wielkie (2)";58;
0206062;"Jeżów Sudecki (2)";94;
0206072;"Mysłakowice (2)";88;
0206082;"Podgórzyn (2)";83;
0206092;"Stara Kamienica (2)";111;
0207000;"Powiat kamiennogórski";396;
0207011;"Kamienna Góra (1)";18;
0207022;"Kamienna Góra (2)";158;
0207033;"Lubawka (3)";138;
0207034;"Lubawka - urban area (4)";22;
0207035;"Lubawka - rural area (5)";116;
0207042;"Marciszów (2)";82;
0208000;"Powiat kłodzki";1642;
0208011;"Duszniki-Zdrój (1)";22;
0208021;"Kłodzko (1)";25;
0208031;"Kudowa-Zdrój (1)";34;
0208041;"Nowa Ruda (1)";37;
0208051;"Polanica-Zdrój (1)";17;
0208063;"Bystrzyca Kłodzka (3)";339;
0208064;"Bystrzyca Kłodzka - urban area (4)";11;
0208065;"Bystrzyca Kłodzka - rural area (5)";328;
0208072;"Kłodzko (2)";252;
0208083;"Lądek-Zdrój (3)";117;
0208084;"Lądek-Zdrój - urban area (4)";20;
0208085;"Lądek-Zdrój - rural area (5)";97;
0208092;"Lewin Kłodzki (2)";52;
0208103;"Międzylesie (3)";189;
0208104;"Międzylesie - urban area (4)";14;
0208105;"Międzylesie - rural area (5)";175;
0208112;"Nowa Ruda (2)";140;
0208123;"Radków (3)";140;
0208124;"Radków - urban area (4)";15;
0208125;"Radków - rural area (5)";125;
0208133;"Stronie Śląskie (3)";146;
0208134;"Stronie Śląskie - urban area (4)";2;
0208135;"Stronie Śląskie - rural area (5)";144;
0208143;"Szczytna (3)";132;
0208144;"Szczytna - urban area (4)";80;
0208145;"Szczytna - rural area (5)";52;
0209000;"Powiat legnicki";744;
0209011;"Chojnów (1)";5;
0209022;"Chojnów (2)";231;
0209032;"Krotoszyce (2)";67;
0209042;"Kunice (2)";93;
0209052;"Legnickie Pole (2)";85;
0209062;"Miłkowice (2)";87;
0209073;"Prochowice (3)";103;
0209074;"Prochowice - urban area (4)";10;
0209075;"Prochowice - rural area (5)";93;
0209082;"Ruja (2)";73;
0210000;"Powiat lubański";428;
0210011;"Lubań (1)";16;
0210021;"Świeradów-Zdrój (1)";21;
0210033;"Leśna (3)";105;
0210034;"Leśna - urban area (4)";9;
0210035;"Leśna - rural area (5)";96;
0210042;"Lubań (2)";142;
0210053;"Olszyna (3)";47;
0210054;"Olszyna - urban area (4)";20;
0210055;"Olszyna - rural area (5)";27;
0210062;"Platerówka (2)";48;
0210072;"Siekierczyn (2)";49;
0211000;"Powiat lubiński";712;
0211011;"Lubin (1)";41;
0211022;"Lubin (2)";290;
0211032;"Rudna (2)";217;
0211043;"Ścinawa (3)";164;
0211044;"Ścinawa - urban area (4)";13;
0211045;"Ścinawa - rural area (5)";151;
0212000;"Powiat lwówecki";710;
0212013;"Gryfów Śląski (3)";67;
0212014;"Gryfów Śląski - urban area (4)";7;
